bill_id,home_id,bill_month,kwh_used,bill_amount,peak_demand_kw,billing_days,tariff_band
B0109,H010,2025-10-01,599,4722,5.6,30,Residential-B
B0110,H010,2025-11-01,577,4553,5.5,30,Residential-B
B0111,H010,2025-12-01,545,4306,5.4,30,Residential-B
B0112,H010,2026-01-01,510,4037,5.3,30,Residential-B
B0113,H010,2026-02-01,522,4129,5.3,30,Residential-B
B0114,H010,2026-03-01,507,4014,5.3,30,Residential-B
B0115,H010,2026-04-01,508,4022,5.3,30,Residential-B
B0116,H010,2026-05-01,526,4160,5.3,30,Residential-B
B0117,H010,2026-06-01,515,4076,5.3,30,Residential-B
B0118,H010,2026-07-01,550,4345,5.4,30,Residential-B
B0119,H010,2026-08-01,581,4584,5.5,30,Residential-B
B0120,H010,2026-09-01,601,4738,5.6,30,Residential-B
B0121,H011,2025-10-01,642,5150,6.1,30,Residential-C
B0122,H011,2025-11-01,615,4938,6.0,30,Residential-C
B0123,H011,2025-12-01,581,4671,5.8,30,Residential-C
B0124,H011,2026-01-01,548,4412,5.7,30,Residential-C
B0125,H011,2026-02-01,564,4537,5.8,30,Residential-C
B0126,H011,2026-03-01,555,4467,5.7,30,Residential-C
B0127,H011,2026-04-01,563,4530,5.8,30,Residential-C
B0128,H011,2026-05-01,586,4710,5.9,30,Residential-C
B0129,H011,2026-06-01,579,4655,5.8,30,Residential-C
B0130,H011,2026-07-01,613,4922,6.0,30,Residential-C
B0131,H011,2026-08-01,641,5142,6.1,30,Residential-C
B0132,H011,2026-09-01,654,5244,6.1,30,Residential-C
B0133,H012,2025-10-01,637,4824,5.2,30,Residential-A
B0134,H012,2025-11-01,607,4602,5.0,30,Residential-A
B0135,H012,2025-12-01,572,4343,4.9,30,Residential-A
B0136,H012,2026-01-01,542,4121,4.8,30,Residential-A
B0137,H012,2026-02-01,563,4276,4.9,30,Residential-A
B0138,H012,2026-03-01,561,4261,4.9,30,Residential-A
B0139,H012,2026-04-01,576,4372,4.9,30,Residential-A
B0140,H012,2026-05-01,604,4580,5.0,30,Residential-A
B0141,H012,2026-06-01,598,4535,5.0,30,Residential-A
B0142,H012,2026-07-01,630,4772,5.1,30,Residential-A
B0143,H012,2026-08-01,653,4942,5.2,30,Residential-A
B0144,H012,2026-09-01,660,4994,5.2,30,Residential-A
B0145,H013,2025-10-01,676,5214,5.6,30,Residential-B
B0146,H013,2025-11-01,643,4965,5.5,30,Residential-B
B0147,H013,2025-12-01,609,4708,5.3,30,Residential-B
B0148,H013,2026-01-01,583,4512,5.3,30,Residential-B
B0149,H013,2026-02-01,610,4716,5.4,30,Residential-B
B0150,H013,2026-03-01,615,4753,5.4,30,Residential-B
B0151,H013,2026-04-01,636,4912,5.4,30,Residential-B
B0152,H013,2026-05-01,667,5146,5.6,30,Residential-B
B0153,H013,2026-06-01,662,5108,5.5,30,Residential-B
B0154,H013,2026-07-01,691,5327,5.7,30,Residential-B
B0155,H013,2026-08-01,708,5455,5.7,30,Residential-B
B0156,H013,2026-09-01,708,5455,5.7,30,Residential-B
B0157,H014,2025-10-01,713,5600,6.0,30,Residential-C
B0158,H014,2025-11-01,679,5338,5.9,30,Residential-C
B0159,H014,2025-12-01,647,5092,5.8,30,Residential-C
B0160,H014,2026-01-01,626,4930,5.7,30,Residential-C
B0161,H014,2026-02-01,660,5192,5.8,30,Residential-C
B0162,H014,2026-03-01,672,5284,5.9,30,Residential-C
B0163,H014,2026-04-01,697,5477,6.0,30,Residential-C
B0164,H014,2026-05-01,731,5739,6.1,30,Residential-C
B0165,H014,2026-06-01,725,5692,6.1,30,Residential-C
B0166,H014,2026-07-01,750,5885,6.2,30,Residential-C
B0167,H014,2026-08-01,760,5962,6.2,30,Residential-C
B0168,H014,2026-09-01,753,5908,6.2,30,Residential-C
B0169,H015,2025-10-01,530,4270,5.7,30,Residential-A
B0170,H015,2025-11-01,495,3996,5.5,30,Residential-A
B0171,H015,2025-12-01,467,3776,5.4,30,Residential-A
B0172,H015,2026-01-01,452,3658,5.4,30,Residential-A
B0173,H015,2026-02-01,493,3980,5.5,30,Residential-A
B0174,H015,2026-03-01,511,4121,5.6,30,Residential-A
B0175,H015,2026-04-01,540,4349,5.7,30,Residential-A
B0176,H015,2026-05-01,575,4624,5.8,30,Residential-A
B0177,H015,2026-06-01,566,4553,5.8,30,Residential-A
B0178,H015,2026-07-01,586,4710,5.9,30,Residential-A
B0179,H015,2026-08-01,589,4734,5.9,30,Residential-A
B0180,H015,2026-09-01,576,4632,5.8,30,Residential-A
B0181,H016,2025-10-01,566,4298,4.9,30,Residential-B
B0182,H016,2025-11-01,533,4054,4.8,30,Residential-B
B0183,H016,2025-12-01,509,3877,4.7,30,Residential-B
B0184,H016,2026-01-01,500,3810,4.6,30,Residential-B
B0185,H016,2026-02-01,548,4165,4.8,30,Residential-B
B0186,H016,2026-03-01,571,4335,4.9,30,Residential-B
B0187,H016,2026-04-01,604,4580,5.0,30,Residential-B
B0188,H016,2026-05-01,638,4831,5.2,30,Residential-B
B0189,H016,2026-06-01,626,4742,5.1,30,Residential-B
B0190,H016,2026-07-01,639,4839,5.2,30,Residential-B
B0191,H016,2026-08-01,636,4816,5.1,30,Residential-B
B0192,H016,2026-09-01,616,4668,5.1,30,Residential-B
